TOV_POS,TT100,TT101,TT102,TT103,TT104,TT105,TT106,TT108,TT109,TT110,TT112,TT119,TT120,TT121,TT122,TT123,TT124,TT125,TT126,TT210,TT212,GEN_POT_ATT_KW,GEN_TENSIONE,CPT104,CPT105,DPT113,IC113,ST102,XT101,TT127,TT128,TT129,TT130,FCV134,TOVSPOS,TOFS,XT100,PT212,Fault
99.958,275.817,243.177,264.866,55.008,91.7,20.563,253.762,244.103,193.269,221.616,91.856,128.33,52.673,59.729,69.942,49.824,52.576,49.766,49.467,48.163,53.807,629.085,666.66,7.993,0.283,2803.212,775.736,3005.201,0.077,125.623,232.16,211.29,162.962,100.0,95.037,1000.0,0.561,329.938,0
99.947,294.277,252.668,278.976,54.459,92.056,23.198,269.738,257.329,201.086,235.013,94.226,132.36,58.237,62.278,72.536,59.208,62.409,59.572,48.557,51.899,59.868,860.575,664.725,9.867,0.296,2802.799,878.129,3006.574,0.078,117.308,240.87,208.182,172.408,100.0,95.167,1000.0,0.582,329.721,0
99.945,296.434,253.747,280.555,54.244,92.36,25.967,271.699,258.881,202.379,236.787,94.707,133.19,61.236,64.116,74.517,62.803,66.022,63.146,48.015,54.561,62.931,888.114,665.211,10.104,0.299,2801.049,891.423,3007.096,0.074,116.75,243.294,208.773,173.954,100.0,95.061,1000.0,0.562,331.708,0
99.917,296.542,253.881,280.741,53.804,92.336,24.686,271.731,259.029,202.422,236.869,94.603,133.221,60.168,63.318,73.623,61.698,64.821,61.989,47.749,53.82,62.034,889.725,667.206,10.105,0.298,2803.31,891.395,3007.376,0.076,116.91,243.377,209.324,173.937,100.0,95.073,1000.0,0.576,331.948,0
99.857,298.532,254.855,282.18,53.34,92.196,22.386,273.268,260.382,203.449,238.46,94.711,133.602,58.681,61.69,71.823,59.949,63.092,60.329,48.173,52.276,60.573,917.002,668.787,10.304,0.299,2806.891,901.408,3007.169,0.086,116.108,245.375,209.472,173.941,100.0,94.935,1000.0,0.612,330.817,0
99.933,277.711,243.815,266.65,53.358,88.174,20.381,255.155,245.383,191.69,221.54,88.783,125.111,52.361,59.918,70.386,50.878,53.731,50.891,51.891,47.471,52.703,684.338,667.545,8.149,0.256,2801.48,784.144,3004.861,0.075,121.223,229.348,207.798,161.763,100.0,95.09,1000.0,0.523,329.738,0
99.648,295.577,255.721,281.095,53.389,91.24,20.387,272.758,259.808,202.757,237.419,92.166,128.965,57.488,59.62,70.817,55.114,58.365,55.75,52.512,51.474,58.598,817.122,668.537,9.184,0.222,2800.182,843.556,3006.541,0.074,125.29,242.995,219.182,170.566,100.0,99.429,1000.0,0.475,330.366,0
99.931,275.895,243.098,265.182,53.039,90.074,23.253,253.989,244.295,191.77,221.063,89.618,126.313,56.046,61.645,72.759,54.309,57.257,54.322,57.165,50.483,56.029,652.961,670.626,7.993,0.264,2804.134,776.088,3004.863,0.067,122.189,228.079,207.457,163.19,100.0,95.16,1000.0,0.51,330.621,0
99.857,300.557,255.688,283.343,54.082,92.39,22.691,275.122,261.672,204.416,240.159,94.982,134.137,59.355,61.901,72.26,62.276,65.602,62.708,65.568,52.446,60.648,947.094,668.721,10.549,0.301,2804.03,910.211,3008.623,0.085,115.802,246.439,209.157,175.146,100.0,95.179,1000.0,0.617,331.109,0
99.942,286.757,248.944,273.586,53.964,91.406,19.525,263.18,251.745,196.653,228.85,92.596,129.798,53.023,59.294,69.77,52.457,55.479,52.593,48.618,47.793,53.688,763.708,671.785,9.058,0.287,2804.643,834.333,3006.221,0.079,119.801,233.937,207.366,166.426,100.0,95.174,1000.0,0.555,329.99,0
99.987,277.581,243.95,266.454,53.597,89.829,20.255,255.146,245.124,192.272,221.919,90.028,126.513,52.425,59.329,70.13,50.123,52.987,50.161,54.889,47.462,53.033,667.935,669.997,8.136,0.267,2802.35,782.998,3005.506,0.071,122.588,230.41,208.745,161.959,100.0,95.114,1000.0,0.524,329.479,0
99.988,288.902,249.918,275.26,52.789,91.057,19.837,265.206,253.476,197.789,230.505,92.303,129.94,54.122,59.438,69.96,53.478,56.61,53.758,51.893,48.275,55.078,801.088,665.87,9.287,0.282,2803.813,846.614,3006.978,0.077,118.161,237.153,208.195,167.66,100.0,95.144,1000.0,0.574,329.352,0
99.99,282.495,246.46,270.201,53.091,91.281,20.625,259.572,248.843,195.495,226.012,91.802,128.815,53.466,59.218,69.503,51.733,54.699,51.86,49.373,48.27,54.368,718.252,672.457,8.656,0.282,2802.14,811.016,3005.711,0.078,122.963,237.331,212.476,164.179,100.0,95.27,1000.0,0.58,329.303,0
99.961,290.629,251.079,277.027,53.505,92.014,20.031,267.127,255.069,198.874,232.021,93.446,131.24,54.835,59.312,69.539,54.267,57.367,54.534,50.624,48.381,55.741,810.915,672.246,9.468,0.292,2803.022,856.697,3006.841,0.082,118.851,237.167,208.761,168.913,100.0,95.178,1000.0,0.593,329.57,0
99.987,287.446,249.037,274.514,53.26,89.186,20.207,263.867,252.497,195.587,228.94,90.901,127.924,53.977,59.471,69.645,52.879,55.893,53.08,50.423,47.74,54.572,792.829,670.864,9.108,0.271,2803.686,836.958,3006.291,0.08,119.504,231.076,206.879,165.474,100.0,95.261,1000.0,0.568,329.665,0
100.0,276.917,244.0,265.976,55.748,92.108,21.371,254.44,244.543,193.64,221.924,92.026,128.399,52.702,59.628,70.489,48.835,51.601,48.848,51.56,48.296,53.908,628.548,671.426,8.041,0.288,2803.905,778.075,3004.57,0.075,126.218,236.325,215.008,162.347,100.0,95.252,1000.0,0.509,329.922,0
99.977,299.841,255.533,283.181,52.091,91.979,21.68,274.617,261.111,203.291,239.789,94.336,133.652,57.889,60.429,70.54,60.384,63.757,60.867,48.43,50.55,59.729,932.946,666.655,10.419,0.297,2806.245,899.743,3007.573,0.087,115.314,241.377,206.055,174.486,100.0,95.017,1000.0,0.593,330.332,0
99.971,297.314,254.243,281.477,53.67,89.206,19.367,272.632,259.418,201.591,237.513,92.168,131.279,55.395,58.813,69.243,57.129,60.439,57.606,50.801,48.92,57.403,929.732,665.763,10.152,0.277,2803.734,888.789,3007.87,0.086,115.099,239.251,206.139,172.941,100.0,95.277,1000.0,0.587,329.977,0
99.996,283.914,246.925,271.74,52.845,87.775,21.525,260.906,250.01,192.998,226.2,88.899,125.592,54.768,59.633,70.093,52.281,55.236,52.481,59.276,49.245,55.807,769.305,665.907,8.767,0.255,2801.339,818.812,3006.333,0.07,120.928,227.241,206.513,164.42,100.0,95.243,1000.0,0.53,327.696,0
99.964,292.403,251.569,277.998,52.995,91.309,20.703,268.05,255.933,198.713,233.087,92.824,130.704,55.44,60.261,70.486,56.32,59.503,56.597,56.37,49.178,56.534,844.741,665.11,9.646,0.286,2805.752,866.281,3007.336,0.079,117.766,235.801,207.005,169.492,100.0,94.964,1000.0,0.567,329.568,0
